,item_id,url,title,authors,lang,img,year,description,Tags
0,604666,https://www.goodreads.com/book/show/2932.Robinson_Crusoe,Robinson Crusoe,Daniel Defoe,eng,https://images.gr-assets.com/books/1403180114m/2932.jpg,2001,"Crusoe (the family name corrupted from the German name ""Kreutznaer"") sets sail from the Queen's Dock in Hull on a sea voyage in August 1651, against the wishes of his parents, who want him to pursue a career, possibly in law. After a tumultuous journey where his ship is wrecked in a storm, his lust for the sea remains so strong that he sets out to sea again. This journey, too, ends in disaster, as the ship is taken over by Sale pirates (the Sale Rovers) and Crusoe is enslaved by a Moor. Two years later, he escapes in a boat with a boy named Xury; a captain of a Portuguese ship off the west coast of Africa rescues him. The ship is en route to Brazil. Crusoe sells Xury to the captain. With the captain's help, Crusoe procures a plantation. Robinson Crusoe is a novel by Daniel Defoe, first published on 25 April 1719. This first edition credited the work's fictional protagonist Robinson Crusoe as its author, leading many readers to believe he was a real person and the book a travelogue of true incidents. It was published under the considerably longer original title The Life and Strange Surprizing Adventures of Robinson Crusoe, Of York, Mariner.",classic fantasy adventure 19th century british religion england history philosophy childhood 18th century survival travel drama kids literature school historical absurd action adaptation addiction adoption aging war italian france
1,1222101,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes,Arthur Conan Doyle,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1998,"Complete in nine handsome volumes, each with an introduction by a Doyle scholar, a chronology, a selected bibliography, and explanatory notes, the Oxford Sherlock Holmes series offers a definitive collection of the famous detective's adventures. No home library is complete without it.
Comprising the series of short stories that made the fortunes of the Strand, the magazine in which they were first published, this volume won even more popularity for Sherlock Holmes and Dr. Watson. Holmes is at the height of his powers in many of his most famous cases, including The Red-Headed League, The Speckled Band, and The Blue Carbuncle.",classic fantasy crime detective adventure 19th century british thriller humor england history mystery philosophy childhood drama children inspirational suspense science psychology life story epic educational atheism interesting creativity
2,1272463,https://www.goodreads.com/book/show/17470674-fahrenheit-451,Fahrenheit 451,Ray Bradbury,eng,https://images.gr-assets.com/books/1469704347m/17470674.jpg,2013,"A beautiful clothbound edition of the internationally acclaimed Fahrenheit 451 - a masterwork of twentieth-century literature.
The terrifyingly prophetic novel of a post-literate future.
Guy Montag is a fireman. His job is to burn books, which are forbidden, being the source of all discord and unhappiness. Even so, Montag is unhappy; there is discord in his marriage. Are books hidden in his house? The Mechanical Hound of the Fire Department, armed with a lethal hypodermic, escorted by helicopters, is ready to track down those dissidents who defy society to preserve and read books.
The classic dystopian novel of a post-literate future, Fahrenheit 451 stands alongside Orwell's 1984 and Huxley's Brave New World as a prophetic account of Western civilization's enslavement by the media, drugs and conformity.
Bradbury's powerful and poetic prose combines with uncanny insight into the potential of technology to create a novel which, decades on from first publication, still has the power to dazzle and shock.
--harpercollins.co.uk",classic russia science fiction fantasy history war scary dystopia dark suspense science military creepy politics 1950s satire thought-provoking college allegory political social commentary disturbing philosophical censorship controversial futuristic
3,1540236,https://www.goodreads.com/book/show/5907.The_Hobbit,The Hobbit,J.R.R. Tolkien,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,2002,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.
Written for J.R.R. Tolkien's own children, The Hobbitmet with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001). Unforgettable!",classic fantasy adventure british england mystery animals travel literature war teen children magic 1930s dystopia mythology inspirational friendship suspense wizards medieval action packed high fantasy allegory epic dragons good awesome beautiful fairy tales chase moving controversial courage creativity fighting freedom imagination prohibition feel-good destiny monsters hollywood camp ecology gangs revolution
4,3393910,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov,Fyodor Dostoyevsky,eng,https://images.gr-assets.com/books/1427728126m/4934.jpg,2002,"The award-winning translation of Dostoevsky's last and greatest novel.
The Brothers Karamazovis a passionate philosophical novel set in 19th century Russia, that enters deeply into the ethical debates of God, free will, and morality. It is a spiritual drama of moral struggles concerning faith, doubt, and reason, set against a modernizing Russia.",classic russia detective 19th century religion history philosophy dark love suspense science psychology existentialism satire action packed death political philosophical christian surrealism
5,3393917,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment,Fyodor Dostoyevsky,eng,https://images.gr-assets.com/books/1382846449m/7144.jpg,2002,"Through the story of the brilliant but conflicted young Raskolnikov and the murder he commits, Fyodor Dostoevsky explores the theme of redemption through suffering. Crime and Punishmentput Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.
The poverty-stricken Raskolnikov, a talented student, devises a theory about extraordinary men being above the law, since in their brilliance they think ""new thoughts"" and so contribute to society. He then sets out to prove his theory by murdering a vile, cynical old pawnbroker and her sister. The act brings Raskolnikov into contact with his own buried conscience and with two characters -- the deeply religious Sonia, who has endured great suffering, and Porfiry, the intelligent and discerning official who is charged with investigating the murder -- both of whom compel Raskolnikov to feel the split in his nature. Dostoevsky provides readers with a suspenseful, penetrating psychological analysis that goes beyond the crime -- which in the course of the novel demands drastic punishment -- to reveal something about the human condition: The more we intellectualize, the more imprisoned we become.",classic russia crime detective 19th century thriller history philosophy 18th century drama literature school historical action dark love suspense murder women psychology existentialism great weird thought-provoking money story death tragedy epic psychological depressing disturbing philosophical good sad awesome realistic educational boring foreign character study interesting moving controversial courage intellectual intense investigation justice morality obsession police secrets self discovery surveillance unique violence humanity guilt
6,4912783,https://www.goodreads.com/book/show/656.War_and_Peace,War and Peace,Leo Tolstoy,eng,https://images.gr-assets.com/books/1413215930m/656.jpg,1998,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed.
The prodigious cast of characters, seem to act and move as if connected by threads of destiny as the novel relentlessly questions ideas of free will, fate, and providence. Yet Tolstoy's portrayal of marital relations and scenes of domesticity is as truthful and poignant as the grand themes that underlie them.",classic russia 19th century religion history romance philosophy historical war scary dystopia dark love france suspense military existentialism politics epic psychological sad unique revolution
7,6328892,https://www.goodreads.com/book/show/194373.The_Memoirs_of_Sherlock_Holmes,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,eng,https://images.gr-assets.com/books/1410716044m/194373.jpg,1993,"The Memoirs of Sherlock Holmes are overshadowed by the event with which they close - the meeting of the great detective and Moriarty, the Napoleon of Crime. Their struggle, seemingly to the death, was to leave many readers desolate at the loss of Holmes, but was also to lead to his immortality as a literary figure.",classic fantasy crime detective adventure 19th century british thriller england history mystery childhood children 1930s inspirational suspense science murder psychology 1950s life story epic educational atheism interesting creativity
8,6552198,https://www.goodreads.com/book/show/12505.The_Idiot,The Idiot,Fyodor Dostoyevsky,eng,https://images.gr-assets.com/books/1327865902m/12505.jpg,2003,"Returning to Russia from a sanitarium in Switzerland, the Christ-like epileptic Prince Myshkin finds himself enmeshed in a tangle of love, torn between two women--the notorious kept woman Nastasya and the pure Aglaia--both involved, in turn, with the corrupt, money-hungry Ganya. In the end, Myshkin's honesty, goodness, and integrity are shown to be unequal to the moral emptiness of those around him. In her revision of the Garnett translation, Anna Brailovsky has corrected inaccuracies wrought by Garnett's drastic anglicization of the novel, restoring as much as possible the syntactical structure of the original.",classic russia 19th century
9,245494,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,2004,"THE GREAT GATSBY, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" is an exquisitely crafted tale of America in the 1920s.
The Great Gatsbyis one of the great classics of twentieth-century literature.
--back cover",classic fantasy history romance mystery philosophy 18th century literature school children magic 1920s dystopia dark love suspense business us history allegory unique too short
10,1466917,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,2005,"Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.
As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must ... and a dead enemy is a thing of beauty.
The old gods have no power in the south, Stark's family is split and there is treachery at court. Worse, the vengeance-mad heir of the deposed Dragon King has grown to maturity in exile in the Free Cities. He claims the Iron Throne.",classic science fiction fantasy adventure thriller religion romance 18th century drama literature historical action adaptation addiction adoption biography war scary magic dystopia mythology suspense science wizards medieval creepy dark fantasy action packed high fantasy dragons adultery
