,item_id,title,Tags
0,260,Star Wars: Episode IV - A New Hope (1977),classic horror adventure anime fantasy music aliens science fiction space space travel boring love story philosophy thought-provoking drama war western friendship love robots funny action romance mystery interesting thriller gay politics children story espionage future witty dark inspiring magic comedy awesome futuristic coming of age feel-good fun redemption intense entertaining supernatural epic space opera crime incest mythology wizards cult 1970s organized crime visual moving fighting good cool nostalgia
1,1203,12 Angry Men (1957),classic aliens apocalypse thought-provoking drama racism interesting death penalty murder politics weird ghosts courtroom courtroom drama social commentary gritty predictable crime realistic justice prejudice
2,7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),classic adventure anime ecology fantasy science fiction war dystopia future coming of age anti-war steampunk
3,318,"Shawshank Redemption, The (1994)",classic philosophical adventure fantasy philosophy thought-provoking drama friendship emotional love survival action mystery thriller genius true story psychology beautiful corruption revenge humor sexuality suspense sad inspiring plot twist comedy awesome violence social commentary hilarious gritty feel-good fun redemption intense inspirational entertaining surprise ending freedom morality epic crime existentialism intellectual suicide dreams 1960s 1950s justice rape adaptation good literature
4,2067,Doctor Zhivago (1965),classic love story romantic war history epic communism revolution world war i
5,356,Forrest Gump (1994),classic philosophical adventure fantasy boring love story quirky thought-provoking drama war friendship emotional love funny action romance interesting biographical disability history terminal illness gay biography psychology beautiful humor sexuality strange sad story mental illness witty inspiring comedy social commentary political satire coming of age 1980s silly feel-good fun intense inspirational tear jerker epic historical alternate history cult 1970s realistic military 1960s storytelling disappointing chocolate cute football 1950s destiny moving justice autism cancer life vietnam sweet good aids fish nostalgia us history
6,1219,Psycho (1960),classic horror music mystery thriller genius disturbing psychology murder suspense psychological mental illness money private detective creepy cross dressing
7,1732,"Big Lebowski, The (1998)",classic quirky funny drugs mistaken identity humor surreal dark humor kidnapping black comedy comedy violence marijuana crime satirical los angeles
8,6807,Monty Python's The Meaning of Life (1983),classic philosophy humor weird black comedy comedy satire hilarious silly absurd controversial british religion
9,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",classic music quirky thought-provoking drama war western story parody dark torture epic historical satirical photography hitman money civil war
10,1207,To Kill a Mockingbird (1962),classic drama racism history lawyers murder politics courtroom courtroom drama social commentary 1930s morality isolation
11,912,Casablanca (1942),classic drama war love romance adultery marriage corruption murder espionage witty unique hilarious love triangles chess gambling africa noir cool
12,916,Roman Holiday (1953),classic love story romance comedy dance photography italy romantic comedy 1950s rome
13,4499,Dirty Rotten Scoundrels (1988),classic money competition
14,6970,Desk Set (1957),classic computers 1950s office
15,8033,How to Steal a Million (1966),classic art comedy british 1960s caper
16,902,Breakfast at Tiffany's (1961),classic quirky emotional romance writers new york chick flick satirical 1960s
17,1235,Harold and Maude (1971),classic quirky death aging dark humor black comedy high school inspirational depression suicide sweet
18,1220,"Blues Brothers, The (1980)",classic musical music action jazz surreal comedy high school police musicians chase cars chicago
19,40629,Pride & Prejudice (2005),classic love story romantic drama love relationships romance history chick flick comedy british 18th century cute 19th century adaptation prejudice
20,919,"Wizard of Oz, The (1939)",classic musical fantasy music war queer talking animals fun courage wizards adolescence sweet witches horses pigs
21,1380,Grease (1978),classic musical funny parody chick flick weird teen high school rock and roll cars 1950s
22,5799,Exodus (1960),classic suspense epic israel
23,111,Taxi Driver (1976),classic boring loneliness assassination character study disturbing psychology mental illness dark social commentary insanity prostitution obsession new york city
24,778,Trainspotting (1996),classic drama friendship drugs child abuse soccer story surreal surrealism dark humor black comedy violence social commentary 1980s sex intense crime addiction scotland heroin literature cool
25,858,"Godfather, The (1972)",classic music boring drama interesting story awesome violence entertaining epic crime photography italy mafia organized crime immigrants visual 1950s foreign guilt
26,1206,"Clockwork Orange, A (1971)",classic music science fiction quirky drama disturbing psychology depressing dystopia sexuality future psychological surreal dark violence social commentary satire unique controversial satirical photography adolescence brainwashing rape psychiatry
27,1208,Apocalypse Now (1979),classic adventure apocalypse boring drama war death action drugs disturbing psychological surreal dark insanity epic anti-war gore military vietnam jungle
28,1233,"Boot, Das (Boat, The) (1981)",classic thought-provoking war gritty epic realistic world war ii underwater drinking
29,1258,"Shining, The (1980)",classic horror time travel loneliness thriller alcoholism writers disturbing psychology suspense psychological mental illness dark scary ghosts haunted house insanity addiction isolation obsession
30,1947,West Side Story (1961),classic musical music love story racism funny social commentary dance cheesy gangsters gangs interracial romance
31,8670,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",classic crime creepy allegory
32,1196,Star Wars: Episode V - The Empire Strikes Back (1980),classic adventure fantasy music aliens science fiction space war robots action story dark awesome futuristic 1980s space opera androids modern fantasy parenthood
33,1210,Star Wars: Episode VI - Return of the Jedi (1983),classic adventure fantasy aliens science fiction space drama war robots action awesome futuristic redemption space opera fighting good
34,110,Braveheart (1995),classic adventure drama war action romance history biography politics revenge story violence courage inspirational freedom epic historical british gore visual revolution medieval england action packed scotland betrayal rape factual
35,296,Pulp Fiction (1994),classic philosophical music art quirky thought-provoking drama funny action interesting thriller drugs genius twist disturbing murder food humor strange suspense psychological surreal witty parody dark dark humor plot twist black comedy comedy awesome violence satire unique sex gritty dance fun redemption intense entertaining epic crime controversial intellectual cult hitman mafia organized crime gangsters gore money storytelling caper los angeles homosexuality action packed sexy sweet rape puppets heroin noir cool pulp
36,527,Schindler's List (1993),classic music thought-provoking drama war interesting history true story biography disturbing depressing murder sexuality sad inspiring awesome 1930s intense epic historical realistic world war ii heartbreaking holocaust moving nazis jewish great poland jews anti-semitism
37,541,Blade Runner (1982),classic artificial intelligence philosophical fantasy boring drama robots action thriller depressing murder dystopia genetics future dark futuristic 1980s predictable morality existentialism memory cyberpunk androids visual los angeles clones noir
38,593,"Silence of the Lambs, The (1991)",classic horror adventure drama action mystery thriller disturbing psychology murder suspense sad psychological mental illness dark torture kidnapping scary violence detective intense investigation insanity crime gothic cannibalism police creepy fbi adaptation good
39,924,2001: A Space Odyssey (1968),classic artificial intelligence philosophical adventure music aliens first contact space space travel boring robots mystery genius humanity story future technology surreal futuristic realistic evolution visual moon
40,1136,Monty Python and the Holy Grail (1975),classic funny history humor surreal witty parody comedy awesome satire high school hilarious silly absurd satirical religion medieval england rabbits
41,1193,One Flew Over the Cuckoo's Nest (1975),classic philosophy thought-provoking drama friendship emotional psychology depressing hospital psychological mental illness violence inspirational insanity freedom moving allegory crazy
42,1200,Aliens (1986),classic horror aliens science fiction space space travel action suspense story scary intense androids military
43,1214,Alien (1979),classic horror aliens science fiction space space travel boring action mystery thriller dystopia suspense story dark scary violence futuristic predictable haunted house gothic androids evolution creepy
44,1240,"Terminator, The (1984)",classic artificial intelligence adventure time travel drama robots action romance murder dystopia story future futuristic cyberpunk androids los angeles fighting terrorism
45,1270,Back to the Future (1985),classic adventure fantasy time travel science fiction love story quirky funny romance thriller alternate reality humor story future comedy futuristic teen high school 1980s fun kids bullying love triangles rock and roll 1950s travel destiny time alternate universe
46,2011,Back to the Future Part II (1989),classic adventure fantasy time travel science fiction alternate reality dystopia story future comedy 1980s alternate history gambling 1950s time good alternate universe
47,2959,Fight Club (1999),classic philosophical adventure philosophy quirky thought-provoking funny action mystery interesting thriller twist disturbing psychology dystopia psychological mental illness surreal witty dark dark humor plot twist violence social commentary coming of age gritty schizophrenia intense entertaining insanity crime satirical capitalism revolution storytelling identity justice fighting action packed sexy brainwashing terrorism bizarre crazy
48,4262,Scarface (1983),classic drama action drugs corruption revenge story violence crime incest mafia organized crime gangsters immigrants cuba prohibition
49,26237,Zabriskie Point (1970),classic quirky social commentary freedom 1970s
50,971,Cat on a Hot Tin Roof (1958),classic emotional adultery alcoholism jazz depression suicide addiction drinking
51,1247,"Graduate, The (1967)",classic music quirky drama love funny romance adultery comedy college coming of age satirical suburbia love triangles 1960s los angeles erotic
52,3089,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),classic sad coming of age poverty morality italian rome
53,2403,First Blood (Rambo: First Blood) (1982),classic drama survival action violence social commentary police vietnam fish
54,2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",classic western action gritty gangs
55,7247,Chitty Chitty Bang Bang (1968),classic musical fantasy music funny child abuse children steampunk single father
56,953,It's a Wonderful Life (1946),classic fantasy drama love funny romance alternate reality story awesome inspirational money utopia christmas brothers alternate universe
57,2176,Rope (1948),classic drama friendship mystery thriller true story gay murder suspense scary crime
58,2791,Airplane! (1980),classic war funny romance parody comedy hilarious silly absurd los angeles aviation chicago
59,1209,Once Upon a Time in the West (C'era una volta il West) (1968),classic boring drama western action violence insanity epic trains rape
